newsSource|publishDate|headlineText
Buzzfeed|2012 01 12|Transgender Former Girl Scout Rebuts Boycott
Buzzfeed|2012 01 17|Santorum Neutral On Transgender Girl Scouts
Buzzfeed|2012 01 18|Duggar Dad Comes Out Against Transgender Girl Scout
Buzzfeed|2012 01 19|A Lone Transgender Activist Confronts Santorum
Buzzfeed|2012 01 24|The Family Research Council Launches Boycott Of Girl Scout Cookies Over Their Inclusion Of Transgender Children
Buzzfeed|2012 10 26|Transsexual Lioness Discovered And Other Weekend Links
Buzzfeed|2013 03 28|"Everything You Need To Know About Arizona's Transgender ""Bathroom Bill"""
Buzzfeed|2013 05 8|ABC News Producer Don Ennis Is Now Dawn Ennis, Comes Out As Transgender
Buzzfeed|2013 09 21|Orange County High School Elects Transgender Homecoming Queen
Buzzfeed|2013 11 11|Opponents Of California Transgender Student Protections Law Confident Repeal Effort Will Move Forward
Buzzfeed|2014 03 25|Opponents Of California Transgender Student Protections Law Take Repeal Fight To Court
Buzzfeed|2014 04 15|Indian Supreme Court Recognizes Broad Rights For Transgender People
Buzzfeed|2014 05 11|Defense Secretary Hagel: Military Should Review Ban On Transgender Service
Buzzfeed|2014 06 5|Baltimore Police, LGBT Community Searching For Clues In Murder Of Transgender Woman
Buzzfeed|2014 07 5|"Joan Rivers Storms Out Of ""Negative"" CNN Interview Days After Calling Michelle Obama A ""Tranny"""
Buzzfeed|2014 07 30|Florida Police Arrest Suspect In Killing, Burning Of Transgender Woman
Buzzfeed|2014 08 13|Orlando Unanimously Approves Transgender Nondiscrimination Protections
Buzzfeed|2014 09 26|A Transgender Woman Says She Was Locked In A Cell With Her Rapist
Buzzfeed|2014 10 13|Trial Begins For U.S. Marine Charged With Killing Transgender Woman In Philippines
Buzzfeed|2014 10 21|Exclusive: Despite Protests, Smith College Still Won’t Admit Transgender Women
Buzzfeed|2014 10 23|Gay, Transgender Inmates Sue California Jail Over Alleged Discrimination
Buzzfeed|2014 10 30|17 preguntas que los transexuales están cansados de escuchar
Buzzfeed|2014 11 7|Victory For Transgender Activists Over Sharia Law
Buzzfeed|2014 11 18|GOP Congresswoman Discusses Her Transgender Son's Coming Out
Buzzfeed|2014 11 20|Transgender Women In Ohio Are At The Heart Of A National Crisis
Buzzfeed|2014 12 1|Department Of Education Issues Guidelines To Protect Transgender Students In Single-Sex Classrooms
Buzzfeed|2014 12 3|Miami-Dade County Bans Anti-Transgender Discrimination
Buzzfeed|2014 12 5|This Transgender Guy Has An Awesome Song About Hooking Up With Girls While Home For The Holidays
