newsSource|publishDate|headlineText
The Daily Mail|2002 07 11|Transexuals win landmark legal battle
The Daily Mail|2002 12 13|Transsexuals to get new marriage rights
The Daily Mail|2003 07 11|'Transsexuals to get marriage rights'
The Daily Mail|2003 07 11|Transsexuals allowed to marry in new law
The Daily Mail|2005 02 09|Transsexual to play British Open
The Daily Mail|2006 02 23|Drag queen to be Europe's first 'transgender' MP
The Daily Mail|2007 01 12|The transsexual postman so upset he hid delivery parcels
The Daily Mail|2008 04 07|Transsexual trucker wins sex discrimination case after turning up at work dressed as a woman called 'Vikki-Marie'
The Daily Mail|2008 04 07|Transsexual trucker wins sex discrimination case after turning up at work dressed as a woman called 'Vikki-Marie'
The Daily Mail|2008 08 15|America's Next Top Model reveals its latest twist...a transsexual contestant
The Daily Mail|2008 10 22|Pictured: British ex-MOD boss, 70, becomes first transsexual geisha in Japan
The Daily Mail|2008 11 04|Top Muslim doctor suspended for saying 'transsexuals are twisted and society needs protection from gays'
The Daily Mail|2008 11 21|'Transgender' individuals forced to buy two ID cards - one for each sex
The Daily Mail|2009 02 07|MoD accused of wasting money after producing 33-page guide on dealing with transsexuals in the Armed Forces
The Daily Mail|2009 02 13|The GodMOTHER: Transsexual Mafia boss who wears lipstick and calls himself Kitty arrested by Italian police
The Daily Mail|2009 02 16|Transsexual wife 'exercised' her elderly husband to death
The Daily Mail|2009 11 30|Nicole Kidman's fitness regime to lose baby curves for next film role - playing a transsexual
The Daily Mail|2010 02 21|Schools should not force girls to wear skirts - it discriminates against transsexuals, warns watchdog
The Daily Mail|2010 03 04|Transsexual still married to wife claims human rights breach after being denied pension at 60
The Daily Mail|2010 06 22|Transsexual who waged five-year spying campaign on neighbours faces jail
The Daily Mail|2010 07 28|Peaches Geldof courts controversy (again) as she posts 'Tranny love' photos on Twitter
The Daily Mail|2010 10 28|Transgender human rights lawyer who died after being 'pushed' under Tube train was working as an escort
The Daily Mail|2010 11 18|Transgender woman pretended to be a plastic surgeon to conduct bar-room breast exams
The Daily Mail|2010 12 13|Transsexual prisoners will NOT have to have intimate strip searches under 'sensitive' new guidelines
The Daily Mail|2010 12 16|'Homosexual act is an abomination that leads to hell': Department of Motor Vehicles employee’s letter to transsexual
The Daily Mail|2011 01 18|Model misbehaviour: Kate Moss in passionate embrace with transsexual model Lea T for latest Love magazine cover
The Daily Mail|2011 02 07|Fore! Transgender golfers get into catfight over 'female at birth' rules
The Daily Mail|2011 02 18|'I was hoping I was gay': Transgender model Lea T on her sex-change - and how she became the darling of the fashion world
