newsSource|publishDate|headlineText
Toronto Star|2008 06 14|Transgender pianist 's new look
Toronto Star|2008 06 20|Shelter beds are urged for transgendered men
Toronto Star|2008 06 20|Shelter beds are urged for transgendered men
Toronto Star|2008 07 23|German court rules in favour of transsexual rights
Toronto Star|2008 09 01|Transsexual 'Queen of Parks' in rights battle
Toronto Star|2008 10 06|Transgender politician triumphs over lawsuit
Toronto Star|2009 02 25|Club owner going to Rights Tribunal over transsexual case
Toronto Star|2009 04 29|Transsexual ex-colonel wins $500,000 in discrimination suit
Toronto Star|2009 06 18|Ugandan activist punished  for transgender identity
Toronto Star|2009 09 19|A transgender  twist on Secrets
Toronto Star|2009 09 24|Transsexual trailblazer applies the gender test
Toronto Star|2009 10 02|Transgendered teacher fired in Alberta
Toronto Star|2009 10 02|Transgendered teacher fired in Alberta
Toronto Star|2010 06 11|Sexy transsexual Nina Arsenault on life, art and her penis
Toronto Star|2010 11 01|5 Things: Transsexual Scrabble champ
Toronto Star|2010 11 20|Transgendered individuals turning to surgery at younger ages
Toronto Star|2010 11 20|Transgendered individuals turning to surgery at younger ages
Toronto Star|2010 12 01|LPGA changes rule to allow transgendered players
Toronto Star|2010 12 01|LPGA changes rule to allow transgendered players
Toronto Star|2011 03 31|Report: Study of gay, transgender health needed
Toronto Star|2011 04 10|Fired transgendered teacher rejects deal that would muzzle him
Toronto Star|2011 04 10|Fired transgendered teacher rejects deal that would muzzle him
Toronto Star|2011 05 14|How transgender United Church minister Ruth Wood came out to her parishioners
Toronto Star|2011 05 15|How transgender United Church minister Ruth Wood came out to her parishioners
Toronto Star|2011 05 18|Transgender player won’t play for George Washington’s women’s team
Toronto Star|2011 05 28|Transgendered Ontarians struggling with jobs and equality at work 
Toronto Star|2011 05 28|Transgendered Ontarians struggling with jobs and equality at work 
Toronto Star|2011 06 07|Transgendered prisoner wants early release over abuse
Toronto Star|2011 06 07|Transgendered prisoner wants early release over abuse
Toronto Star|2011 09 06|Med schools teach little about health needs of gay, transgender patients
Toronto Star|2011 11 08|Transsexual woman, gay man take seats in ‘modern Poland’ parliament
Toronto Star|2012 01 04|Australian tampon commercial upsets transgendered community
Toronto Star|2012 01 04|Australian tampon commercial upsets transgendered community
Toronto Star|2012 01 16|“Work It” TV series is off duty after allegations it mocked transgender community
Toronto Star|2012 01 19|‘Degrassi’ scores GLAAD Media nomination for transgender storyline
Toronto Star|2012 02 01|Transgendered people outraged over Canada’s identification rules for air travel
Toronto Star|2012 02 01|Transgendered people outraged over Canada’s identification rules for air travel
Toronto Star|2012 03 05|Barack Obama’s cross-dressing former nanny, other transgenders face abuse in Indonesia
Toronto Star|2012 03 25|Miss Universe Canada yanks transgendered contestant from pageant
Toronto Star|2012 03 25|Miss Universe Canada yanks transgendered contestant from pageant
Toronto Star|2012 03 27|Transgendered contestant's ouster from Miss Universe Canada sparks outrage over ‘natural born' rule
Toronto Star|2012 03 27|Transgendered contestant's ouster from Miss Universe Canada sparks outrage over ‘natural born' rule
Toronto Star|2012 04 03|Transgendered woman makes plea to Donald Trump to drop pageant rule
Toronto Star|2012 04 03|Transgendered woman makes plea to Donald Trump to drop pageant rule
Toronto Star|2012 04 03|Miss Universe Canada allows transgendered woman to enter pageant after all
Toronto Star|2012 04 03|Miss Universe Canada allows transgendered woman to enter pageant after all
Toronto Star|2012 04 03|Miss Universe Canada is right to include transsexual Jenna Talackova
Toronto Star|2012 04 09|Transgendered Miss Universe contestant initially didn’t tell boyfriend she was born a boy
Toronto Star|2012 04 09|Transgendered Miss Universe contestant initially didn’t tell boyfriend she was born a boy
Toronto Star|2012 04 10|Miss Universe changes rules to include transgender women
Toronto Star|2012 04 11|Miss Universe rule change paves way for transgender women
Toronto Star|2012 04 27|Free Viagra and transgender surgery among proposed defence cuts: sources
Toronto Star|2012 05 12|Transgendered beauty queen prepares to compete in Miss Universe Canada
Toronto Star|2012 05 12|Transgendered beauty queen prepares to compete in Miss Universe Canada
Toronto Star|2012 05 12|Jenna Talackova: Transgendered Miss Universe Canada contestant in Toronto to compete
Toronto Star|2012 05 12|Jenna Talackova: Transgendered Miss Universe Canada contestant in Toronto to compete
Toronto Star|2012 05 18|Transgender Miss Universe Canada contender stealing the spotlight, competitors’ supporters complain
Toronto Star|2012 05 19|Jenna Talackova, transgendered Miss Universe Canada contestant, shines in spotlight
Toronto Star|2012 05 19|Jenna Talackova, transgendered Miss Universe Canada contestant, shines in spotlight
Toronto Star|2012 05 20|Transgendered contestant Jenna Talackova cracks top 12 at Miss Universe Canada pageant
Toronto Star|2012 05 20|Transgendered contestant Jenna Talackova cracks top 12 at Miss Universe Canada pageant
Toronto Star|2012 05 22|Transgender Canadians winning a few battles in the war for acceptance
